threadId = 0, blockId = 0, value = 0
threadId = 1, blockId = 0, value = 1
threadId = 2, blockId = 0, value = 2
threadId = 3, blockId = 0, value = 3
threadId = 4, blockId = 0, value = 4
threadId = 5, blockId = 0, value = 5
threadId = 6, blockId = 0, value = 6
threadId = 7, blockId = 0, value = 7
threadId = 8, blockId = 0, value = 8
threadId = 9, blockId = 0, value = 9
threadId = 10, blockId = 0, value = 10
threadId = 11, blockId = 0, value = 11
threadId = 12, blockId = 0, value = 12
threadId = 13, blockId = 0, value = 13
threadId = 14, blockId = 0, value = 14
threadId = 15, blockId = 0, value = 15
threadId = 16, blockId = 0, value = 16
threadId = 17, blockId = 0, value = 18
threadId = 18, blockId = 0, value = 20
threadId = 19, blockId = 0, value = 22
threadId = 20, blockId = 0, value = 24
threadId = 21, blockId = 0, value = 26
threadId = 22, blockId = 0, value = 28
threadId = 23, blockId = 0, value = 30
threadId = 24, blockId = 0, value = 48
threadId = 25, blockId = 0, value = 52
threadId = 26, blockId = 0, value = 56
threadId = 27, blockId = 0, value = 60
threadId = 28, blockId = 0, value = 112
threadId = 29, blockId = 0, value = 120
threadId = 30, blockId = 0, value = 240
threadId = 31, blockId = 0, value = 496
